id_sample;APOC1;MERTK;CMTM3;XPR1;H2BC5;MSMO1;TMEM97;IFFO2;FAM89A;CTSH;DOK4;ARFGEF3;FOXA1;NCF2;SNORD62B;PYGB;H3P6;DGUOK-AS1;APOE;IGLV7-46;NES;STOM;ELN;ERRFI1;IL1RN;FZD5;LIMK2;IER5;RNU6-850P;CTSW;CHCHD2P9;LGALS2;RPS2P46;KDM7A-DT;FLVCR2;PRC1;FOXM1;MICAL1;MHENCR;CELSR2;SEZ6L2;SORD;SNAI1;MELK;MMP12;SOX9;APBA2;NFIB;GRK5;TMEM150B;tissue_status;source;class
TCGA-56-7579-11A;7.409727;2.000243;4.042663;2.840741;2.934893;5.986991;3.590011;2.484954;3.703256;6.023529;3.942393;2.908837;3.278851;5.842404;2.292677;4.898972;2.135132;1.327704;6.023218;4.252751;4.562005;7.486175;4.172795;5.410697;3.160577;3.070273;4.119188;3.79055;1.02021;4.64722;1.2356;7.656438;1.355696;2.011962;3.123263;1.12569;0.682844;3.672972;2.312235;1.098991;2.379749;1.578244;1.742046;0.543425;0.840916;2.456841;0.655905;3.738151;4.096796;2.77234;normal;TCGA-LUSC;NTL
TCGA-34-7107-11A;7.874483;2.793142;4.280691;2.535524;2.069241;4.710785;3.08766;2.737791;3.242795;7.125177;3.518993;2.031614;2.130546;5.667152;1.490471;5.166089;2.126369;0.400411;8.966353;5.636243;5.232086;7.408797;5.150292;5.554278;4.066842;2.520673;3.770465;4.438553;0.223917;3.802991;1.899403;6.882924;2.46576;1.830955;2.65157;1.226309;1.364238;3.524146;1.470091;1.480849;3.430679;1.485349;4.792328;0.702601;1.692978;1.922474;1.146333;3.28669;3.21393;3.202841;normal;TCGA-LUSC;NTL
TCGA-91-6828-11A;6.702732;2.346361;3.029127;3.185536;2.843023;6.636672;3.324818;2.435376;3.104597;6.975886;3.738883;3.65032;3.518903;4.886199;1.708568;5.04704;2.572859;1.044877;6.353032;2.33731;4.28704;7.610412;3.745607;7.172231;3.380594;3.596046;3.915311;4.038389;0.623994;2.796974;1.906959;7.267036;1.418319;2.302866;2.982456;0.821056;0.41136;3.062498;1.453968;1.177291;2.789255;1.531759;3.153971;0.272187;0.713219;3.100634;0.323707;3.482632;4.187666;2.404621;normal;TCGA-LUAD;NTL
TCGA-44-2657-11A;7.004615;2.49139;3.905734;2.093864;2.162431;5.551154;4.08097;2.590817;3.128285;6.47241;4.276482;2.261349;2.95984;5.246539;1.228943;5.392605;3.06486;0.691216;7.273414;2.892282;3.857593;7.045791;4.244129;4.440908;3.422127;3.132708;3.740629;4.147657;0.534912;4.459742;3.250418;6.968551;3.311359;1.781511;2.994253;1.588932;1.647437;3.42665;1.94749;1.069564;3.701943;1.346285;1.799754;1.276647;2.719797;1.543531;1.018922;2.771096;3.867125;3.200241;normal;TCGA-LUAD;NTL
TCGA-44-6777-11A;7.034306;2.119066;4.172664;2.517969;2.313231;6.133086;4.392783;2.357531;3.487441;8.0289;3.951399;2.422552;2.853704;5.586309;0.79164;5.589529;3.060468;0.726076;6.472803;4.257465;5.355078;7.572331;4.91374;3.822642;3.410763;3.079922;3.508829;3.824297;0.384262;4.64551;2.576132;7.224813;2.378733;1.449024;2.907017;0.955146;0.597722;3.027649;1.069595;1.294841;3.59667;1.348501;1.987135;0.583966;0.755093;2.334049;0.852345;3.442192;3.774174;3.233371;normal;TCGA-LUAD;NTL
TCGA-22-5482-11A;6.313063;2.225885;4.574889;2.658741;1.747454;4.997064;3.579506;2.544881;3.501451;6.751724;3.889448;2.163747;2.667542;5.20533;0.914086;5.282936;3.73543;0.799993;6.172963;3.025024;6.602263;7.928941;6.351353;4.517053;2.903758;3.00184;3.867892;3.802569;0.396665;4.536719;2.608575;6.769671;2.005287;1.663786;2.591386;1.111207;0.823414;3.110125;1.386357;1.406789;2.785043;1.357836;2.339121;0.435058;0.622181;2.137173;1.280909;3.750354;4.54533;2.587555;normal;TCGA-LUSC;NTL
TCGA-49-4490-11A;7.825445;1.683361;4.384051;2.335574;2.565982;6.021058;4.097251;1.454449;4.291123;7.74583;3.446079;1.799016;2.28554;4.870204;0.0;4.642548;2.635745;0.695517;4.928151;4.151453;3.567493;7.787125;3.811012;4.984483;2.361464;2.67625;3.102709;3.318375;0.0;4.14759;2.418946;8.336162;1.366127;1.629388;3.06665;1.070918;1.367648;1.994387;1.204437;0.368177;2.494363;1.334861;2.13249;0.684841;3.365566;2.013154;0.595458;3.440821;3.567832;2.234733;normal;TCGA-LUAD;NTL
TCGA-43-5670-11A;7.421027;2.834094;4.095735;2.790505;2.924239;4.844048;3.188531;2.853422;3.527106;7.087798;3.400418;3.435648;3.794457;5.403799;1.720751;5.200286;1.823543;1.194185;7.470282;4.662528;4.698682;7.529058;5.40384;5.156021;2.363333;3.212191;4.131182;3.799334;0.349222;4.209561;2.439123;7.508438;1.5285;2.024958;3.37959;0.951843;0.642855;3.510261;2.095992;1.449698;2.643197;1.849519;1.647656;0.410306;0.337339;2.845313;1.311806;3.839255;3.831477;2.177619;normal;TCGA-LUSC;NTL
TCGA-55-6981-11A;7.620483;2.417451;4.470084;2.520575;2.775248;4.974824;3.07191;2.624;3.613501;7.478785;3.818367;2.893479;2.756891;5.5673;1.959084;5.011073;1.895109;1.226517;7.550915;1.605476;5.140327;7.40492;5.642662;5.70289;2.590251;3.416372;4.038397;3.818341;1.382747;3.505285;1.239849;6.923313;2.768369;1.634421;3.342297;1.259201;0.973285;3.678545;2.071848;1.728159;3.337039;1.22914;2.03341;0.515129;1.662128;1.884856;0.68047;4.226648;4.365292;3.596019;normal;TCGA-LUAD;NTL
TCGA-22-5491-11A;5.962199;2.437254;3.740196;2.167773;2.090303;5.765283;4.624677;2.391824;3.384071;8.208435;4.494468;2.434356;2.639713;4.446947;1.148354;5.223617;2.886761;1.041509;5.233471;1.94617;5.044285;7.561767;4.856903;4.950559;1.806704;3.430502;3.880409;3.879888;0.326483;3.890618;2.475158;6.76327;1.931374;1.506342;1.965054;0.733618;0.424077;2.708521;1.612258;1.03605;3.20965;0.883736;3.224455;0.077348;0.639988;2.024222;0.780568;3.460065;4.547504;1.639168;normal;TCGA-LUSC;NTL
